"gene_id","ensembl_id_clean","entrez_id","gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","direction"
"ENSG00000232944.1","ENSG00000232944",NA,NA,8.52693761286239,5.32368784453138,1.89320710867287,2.81199443005645,0.00492353559035265,0.0102256285598426,"Significant","Upregulated"
"ENSG00000251628.1","ENSG00000251628",NA,NA,28.3561257109711,-3.44835084009419,1.22645043159237,-2.81165121008357,0.00492879178049868,0.0102357517282991,"Significant","Downregulated"
"ENSG00000236889.1","ENSG00000236889",NA,NA,24.3415229853648,2.09370858213981,0.745153100651276,2.8097696705682,0.00495769660986804,0.0102913923661172,"Significant","Upregulated"
"ENSG00000226197.2","ENSG00000226197","105375977","LOC105375977",331.525862173754,-1.01920468237875,0.362800136139601,-2.80927315304693,0.00496534979722392,0.0103064807441351,"Significant","Downregulated"
"ENSG00000230063.1","ENSG00000230063",NA,NA,72.2967065523726,1.90790360730785,0.679190404489777,2.8090850440402,0.00496825204830713,0.0103121054908163,"Significant","Upregulated"
"ENSG00000214210.4","ENSG00000214210",NA,NA,10.5551930147363,5.63170821260869,2.00492169989635,2.80894172221281,0.00497046432730023,0.0103158982351744,"Significant","Upregulated"
"ENSG00000238032.1","ENSG00000238032","107985628","S100A11P5",18.4458098636843,3.16016384906722,1.12512129581519,2.80873169925877,0.00497370779701329,0.0103222301149183,"Significant","Upregulated"
"ENSG00000242348.3","ENSG00000242348","106481075","RN7SL561P",5.480174817318,4.68541882502095,1.66822288604848,2.80862878947747,0.00497529777311794,0.0103251300440264,"Significant","Upregulated"
"ENSG00000263988.2","ENSG00000263988","106479274","RN7SL147P",6.94750614329092,5.02773088233262,1.79053295947742,2.80795215509465,0.00498576335714999,0.0103456471845891,"Significant","Upregulated"
"ENSG00000276911.1","ENSG00000276911",NA,NA,38.4453542778547,2.25215083089395,0.802079229292267,2.80789072780402,0.004986714445277,0.0103468194878348,"Significant","Upregulated"
"ENSG00000202239.1","ENSG00000202239","106481303","RNU6-396P",7.05797135330507,5.04902300269709,1.79823379589996,2.80776782986119,0.00498861778539565,0.0103500180458346,"Significant","Upregulated"
"ENSG00000275635.1","ENSG00000275635","124905170","LOC124905170",5.65093806200134,3.04400096640454,1.08413617650193,2.80776624964799,0.00498864226268759,0.0103500180458346,"Significant","Upregulated"
"ENSG00000212170.1","ENSG00000212170","106480173","RNU1-77P",8.97497014078144,4.99893848442029,1.78047923079175,2.80763650480627,0.00499065236355999,0.0103533868102004,"Significant","Upregulated"
"ENSG00000243806.1","ENSG00000243806","100270852","RPL7P18",304.158074461284,-1.07174012256115,0.38175638282829,-2.80739280538292,0.00499442991105985,0.0103604214357855,"Significant","Downregulated"
"ENSG00000272545.1","ENSG00000272545",NA,NA,8.4584094200697,5.31191349735057,1.89233323684473,2.8070708657042,0.00499942421266046,0.0103703801828805,"Significant","Upregulated"
"ENSG00000235047.1","ENSG00000235047",NA,NA,5.45646129312598,4.6797087242878,1.66716220231256,2.80699065621597,0.00500066921774982,0.0103725612384429,"Significant","Upregulated"
"ENSG00000220515.2","ENSG00000220515",NA,NA,23.7587429157222,2.97904464052566,1.06148941754029,2.80647606212484,0.00500866337607683,0.0103887409107017,"Significant","Upregulated"
"ENSG00000249069.7","ENSG00000249069",NA,NA,63.715938134286,-1.50183008718207,0.535161614061603,-2.80631130432534,0.00501122531001074,0.0103936524948371,"Significant","Downregulated"
"ENSG00000258169.1","ENSG00000258169","283432","LINC00485",97.0926762696376,2.55622301184659,0.910994160661688,2.80597079786979,0.00501652383758451,0.0104042393770832,"Significant","Upregulated"
"ENSG00000226681.1","ENSG00000226681","124907913","LOC124907913",7.91686249028884,5.21585497034475,1.85885398741133,2.80595194978624,0.00501681727534313,0.010404445316365,"Significant","Upregulated"
"ENSG00000225092.2","ENSG00000225092",NA,NA,270.469864118204,1.18765521188957,0.423322391332704,2.80555726842276,0.00502296546696496,0.0104159868946597,"Significant","Upregulated"
"ENSG00000217783.2","ENSG00000217783",NA,NA,141.091148655313,1.33735540029175,0.476695754062542,2.80546950312523,0.00502433356591515,0.0104184207569946,"Significant","Upregulated"
"ENSG00000259300.2","ENSG00000259300",NA,NA,10.0545570136291,4.07650192125996,1.45316220291122,2.80526283514203,0.00502755646904928,0.0104242970669435,"Significant","Upregulated"
"ENSG00000157219.3","ENSG00000157219","3361","HTR5A",8.37996206904239,4.95078324102801,1.76524199788216,2.804591804958,0.0050380338030829,0.010444808803668,"Significant","Upregulated"
"ENSG00000230188.1","ENSG00000230188","100271186","RPL21P83",217.667098474514,1.14922689440344,0.409831195897664,2.80414694124554,0.00504499069551285,0.0104588271770502,"Significant","Upregulated"
