"gene_id","ensembl_id_clean","entrez_id","gene_symbol","logFC","logCPM","LR","PValue","FDR","significance","direction"
"ENSG00000103569.9","ENSG00000103569","366","AQP9",-1.59275959544995,3.90917234109999,93.0935215845441,4.98807453574492e-22,4.16756763577179e-21,"Significant","Downregulated"
"ENSG00000185585.19","ENSG00000185585","169611","OLFML2A",-1.24822210667107,4.64053878121414,93.0059558625018,5.21372073878488e-22,4.35465547249684e-21,"Significant","Downregulated"
"ENSG00000132031.12","ENSG00000132031","4148","MATN3",-1.56943501300975,3.41319567081332,92.9785800078234,5.28633858857474e-22,4.41384798356229e-21,"Significant","Downregulated"
"ENSG00000120693.13","ENSG00000120693","4093","SMAD9",-1.49596355201274,3.21905620114757,92.9759053176539,5.29348755954633e-22,4.41835594680943e-21,"Significant","Downregulated"
"ENSG00000234602.7","ENSG00000234602","345643","MCIDAS",2.83362119198621,0.76324666685525,92.9560176419517,5.34694792255476e-22,4.46150324179065e-21,"Significant","Upregulated"
"ENSG00000128564.6","ENSG00000128564","7425","VGF",6.07565128854801,2.25671679018073,92.9222436069435,5.43897660276644e-22,4.53679287225801e-21,"Significant","Upregulated"
"ENSG00000105467.8","ENSG00000105467","23546","SYNGR4",4.26486391671158,-1.45775166038751,92.9013740317725,5.4966329723939e-22,4.58185823439992e-21,"Significant","Upregulated"
"ENSG00000112530.11","ENSG00000112530","135138","PACRG",-2.1298773748366,0.648806925458732,92.8925512656568,5.52119110290397e-22,4.60081036822516e-21,"Significant","Downregulated"
"ENSG00000118971.7","ENSG00000118971","894","CCND2",-1.22586562054111,5.43539429507986,92.8650020189832,5.59858290652488e-22,4.66376178841461e-21,"Significant","Downregulated"
"ENSG00000227471.8","ENSG00000227471","441282","AKR1B15",6.3959038204399,2.22319645979065,92.8231974176567,5.71809861324227e-22,4.76175039201036e-21,"Significant","Upregulated"
"ENSG00000281756.1","ENSG00000281756","102060414","C2-AS1",-1.38494078536741,-0.460237957593561,92.777324533333,5.85218374178827e-22,4.87180307604392e-21,"Significant","Downregulated"
"ENSG00000227496.1","ENSG00000227496","102723834","LOC102723834",3.01429277866622,-1.98774253265901,92.7488641042164,5.93694895278355e-22,4.94073909389689e-21,"Significant","Upregulated"
"ENSG00000152527.13","ENSG00000152527","130271","PLEKHH2",-1.35189045818484,4.43395270091081,92.7199792821469,6.02423389398582e-22,5.01172591727341e-21,"Significant","Downregulated"
"ENSG00000166922.8","ENSG00000166922","6447","SCG5",2.76782420251163,3.27489477350582,92.7068488393422,6.06433504938844e-22,5.04176475673391e-21,"Significant","Upregulated"
"ENSG00000177732.8","ENSG00000177732","6666","SOX12",1.25788825453263,4.7888409841187,92.5788256829948,6.46959336751071e-22,5.37161338165991e-21,"Significant","Upregulated"
"ENSG00000134247.9","ENSG00000134247","5738","PTGFRN",1.10376172448374,6.26687172602706,92.5753425259632,6.48098990802319e-22,5.37930684377638e-21,"Significant","Upregulated"
"ENSG00000180481.10","ENSG00000180481","144321","GLIPR1L2",-1.38128761064507,-0.582258256045046,92.5624101598177,6.52347927287955e-22,5.4127942215227e-21,"Significant","Downregulated"
"ENSG00000280099.1","ENSG00000280099",NA,NA,-1.26914568473023,1.54727875191566,92.5218305323449,6.65862113750666e-22,5.52129803287047e-21,"Significant","Downregulated"
"ENSG00000253293.4","ENSG00000253293","3206","HOXA10",4.18360020591463,2.06002328065371,92.515021143643,6.68157117401232e-22,5.5385092111831e-21,"Significant","Upregulated"
"ENSG00000255986.6","ENSG00000255986",NA,NA,-1.91127129656664,-1.77122538256694,92.5038146483129,6.7195133844714e-22,5.56630555920336e-21,"Significant","Downregulated"
"ENSG00000175318.11","ENSG00000175318","196996","GRAMD2A",-1.41421887915168,4.34670662512953,92.4397097214181,6.94073516472378e-22,5.74767537468386e-21,"Significant","Downregulated"
"ENSG00000084774.13","ENSG00000084774","790","CAD",1.02853010880238,5.79728857390156,92.4357537134593,6.95462331005702e-22,5.75728799854523e-21,"Significant","Upregulated"
"ENSG00000130768.14","ENSG00000130768","27293","SMPDL3B",1.77235120158508,5.7610892142157,92.4210285097429,7.00656302573054e-22,5.79838445875682e-21,"Significant","Upregulated"
"ENSG00000277194.1","ENSG00000277194","9304","SNORD22",2.56743048490149,0.0027477956088511,92.403480164965,7.06896765482475e-22,5.84619601430298e-21,"Significant","Upregulated"
"ENSG00000136167.13","ENSG00000136167","3936","LCP1",-1.1363662270571,7.69050430570313,92.3898876952585,7.11768640212869e-22,5.88456005132113e-21,"Significant","Downregulated"
"ENSG00000123572.16","ENSG00000123572","203447","NRK",3.69904019599094,2.94080910549459,92.3187731608717,7.3781068876128e-22,6.09587109965103e-21,"Significant","Upregulated"
"ENSG00000136918.7","ENSG00000136918","401551","WDR38",-1.8541196569205,1.97797904378141,92.3097320661522,7.41189094673427e-22,6.12178065142603e-21,"Significant","Downregulated"
"ENSG00000231226.1","ENSG00000231226","104533120","TRIM31-AS1",2.65872495133206,-0.8027543167149,92.3059872630139,7.42592951240298e-22,6.13136998883789e-21,"Significant","Upregulated"
"ENSG00000186684.12","ENSG00000186684","339761","CYP27C1",2.98138333827079,1.4672867598722,92.2910844061383,7.48206155124491e-22,6.17569702868201e-21,"Significant","Upregulated"
"ENSG00000274536.6","ENSG00000274536","115891964","MIR223HG",-1.55887209757548,0.835957546591306,92.2763144824365,7.53811161476681e-22,6.2199274562499e-21,"Significant","Downregulated"
"ENSG00000116667.12","ENSG00000116667","81563","C1orf21",-1.15110651447441,5.30567164555104,92.2382080142665,7.68466824195041e-22,6.3387843332573e-21,"Significant","Downregulated"
"ENSG00000186832.8","ENSG00000186832","3868","KRT16",4.71951642295326,3.71338813737696,92.2103657321127,7.79354780873203e-22,6.42649538284373e-21,"Significant","Upregulated"
"ENSG00000138207.13","ENSG00000138207","5950","RBP4",-2.07912458558473,3.00315671189915,92.1819482592224,7.90626800250036e-22,6.5151880155069e-21,"Significant","Downregulated"
"ENSG00000262074.6","ENSG00000262074",NA,NA,6.58000883296245,5.3878057727469,92.1591762002205,7.99777100827787e-22,6.58844111543256e-21,"Significant","Upregulated"
"ENSG00000180769.8","ENSG00000180769","404201","WDFY3-AS2",-1.05949908069346,1.38519115893945,92.1072820089668,8.2102698754223e-22,6.75908392841662e-21,"Significant","Downregulated"
"ENSG00000149948.13","ENSG00000149948","8091","HMGA2",5.74853312698998,3.88604255991618,92.0493813929029,8.45403655973551e-22,6.95522870957191e-21,"Significant","Upregulated"
"ENSG00000163218.14","ENSG00000163218","57115","PGLYRP4",4.20813510113887,0.773548172046203,92.005171105133,8.64502849579783e-22,7.10541420867186e-21,"Significant","Upregulated"
"ENSG00000121440.14","ENSG00000121440","23024","PDZRN3",-1.16509253420694,3.32779501687016,92.0020646766975,8.65860966712942e-22,7.11426083583959e-21,"Significant","Downregulated"
"ENSG00000251357.4","ENSG00000251357",NA,NA,1.46687254900964,7.27468957110321,91.9980243810579,8.67630559870912e-22,7.12648145939514e-21,"Significant","Upregulated"
"ENSG00000131746.12","ENSG00000131746","84951","TNS4",3.87885132564919,4.83978092718497,91.9837564949294,8.73908688060433e-22,7.175713972305e-21,"Significant","Upregulated"
"ENSG00000149798.4","ENSG00000149798","10435","CDC42EP2",-1.07598483709177,3.64719529387034,91.972124591762,8.79060542827633e-22,7.21566958577858e-21,"Significant","Downregulated"
"ENSG00000158517.13","ENSG00000158517","653361","NCF1",-1.27190994806793,3.52598526990053,91.9559032259468,8.86295864675012e-22,7.2726955759439e-21,"Significant","Downregulated"
